CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:16:32 - October 17 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:16:42 10/17/12,25,27,28,28,,,25,41,0,4788.98,,26,42,0,4788.98,,27,44,2,4788.98,,27,39,0,4788.98,
20:16:52 10/17/12,25,26,27,26,,,25,41,0,4788.98,,25,42,1,4788.98,,26,44,3,4788.98,,25,39,3,4788.98,
20:17:02 10/17/12,30,30,30,30,,,25,41,1,4788.98,,25,42,1,4788.98,,26,44,3,4788.98,,25,39,2,4788.98,
20:17:12 10/17/12,25,27,27,27,,,25,41,0,4788.98,,25,43,1,4788.98,,26,44,1,4788.98,,25,39,0,4788.98,
20:17:22 10/17/12,31,31,31,31,,,24,41,3,4788.98,,25,43,2,4788.98,,26,44,2,4788.98,,25,39,1,4788.98,
20:17:32 10/17/12,26,26,27,27,,,24,41,6,4788.98,,25,43,4,4788.98,,26,44,4,4788.98,,25,39,4,4788.98,
20:17:42 10/17/12,25,27,27,27,,,24,41,6,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:17:52 10/17/12,30,30,30,30,,,24,41,1,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:18:02 10/17/12,29,29,29,29,,,24,41,0,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:18:12 10/17/12,25,27,27,27,,,24,41,1,4788.98,,25,47,1,4788.98,,26,44,1,4788.98,,25,39,1,4788.98,
20:18:22 10/17/12,25,27,27,27,,,24,41,1,4788.98,,25,47,4,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:18:32 10/17/12,25,27,27,28,,,24,41,11,4788.98,,25,47,1,4788.98,,26,44,12,4788.98,,25,39,10,4788.98,
20:18:42 10/17/12,30,30,30,30,,,24,41,0,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:18:52 10/17/12,26,27,27,27,,,24,41,7,4788.98,,25,47,2,4788.98,,26,44,2,4788.98,,25,39,2,4788.98,
20:19:02 10/17/12,30,30,30,30,,,24,41,0,4788.98,,25,47,13,4788.98,,26,44,4,4788.98,,25,39,0,4788.98,
20:19:12 10/17/12,26,27,28,27,,,24,41,0,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:19:22 10/17/12,25,26,28,27,,,24,41,0,4788.98,,25,47,0,4788.98,,26,44,0,4788.98,,25,39,0,4788.98,
20:19:32 10/17/12,30,30,30,30,,,24,41,1,4788.98,,25,47,0,4788.98,,26,44,1,4788.98,,25,39,0,4788.98,
20:19:43 10/17/12,37,32,41,35,,,24,41,19,4788.98,,25,47,7,4788.98,,26,44,13,4788.98,,25,39,15,4788.98,
20:19:53 10/17/12,26,29,30,28,,,24,41,0,4788.98,,25,47,0,4788.98,,26,46,0,4788.98,,25,39,0,4788.98,
