CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,17:08:48 - March 04 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
17:08:58 03/04/12,30,30,32,29,,,29,30,1,4788.73,,29,30,1,4788.73,,30,32,1,4788.73,,29,32,1,4788.73,
17:09:08 03/04/12,33,33,33,33,,,29,33,9,4788.73,,29,42,4,4788.73,,30,40,4,4788.73,,29,34,4,4788.73,
17:09:18 03/04/12,30,29,30,28,,,29,43,14,4788.73,,29,42,14,4788.73,,30,40,12,4788.73,,28,34,4,4788.73,
17:09:28 03/04/12,30,28,30,28,,,29,43,1,4788.73,,28,42,1,4788.73,,30,40,0,4788.73,,28,34,1,4788.73,
17:09:38 03/04/12,30,30,31,30,,,28,43,7,4788.73,,28,42,7,4788.73,,30,40,2,4788.73,,28,37,1,4788.73,
