CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,19:39:20 - October 09 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
19:39:30 10/09/12,32,32,32,32,,,26,42,0,4788.97,,27,39,1,4788.97,,30,38,3,4788.97,,28,42,3,4788.97,
19:39:40 10/09/12,31,31,31,31,,,26,42,1,4788.97,,27,39,0,4788.97,,30,38,4,4788.97,,28,42,0,4788.97,
19:39:50 10/09/12,26,28,31,29,,,26,42,6,4788.97,,26,39,6,4788.97,,30,44,6,4788.97,,28,42,6,4788.97,
19:40:00 10/09/12,30,34,36,32,,,26,44,3,4788.97,,26,42,4,4788.97,,30,44,1,4788.97,,28,42,3,4788.97,
19:40:10 10/09/12,32,32,32,32,,,26,44,0,4788.97,,26,42,0,4788.97,,30,44,0,4788.97,,28,42,0,4788.97,
19:40:20 10/09/12,32,32,33,33,,,26,44,1,4788.97,,26,42,1,4788.97,,30,44,1,4788.97,,28,42,1,4788.97,
19:40:30 10/09/12,27,27,31,28,,,26,44,8,4788.97,,26,42,3,4788.97,,30,44,1,4788.97,,28,42,1,4788.97,
19:40:40 10/09/12,32,32,32,32,,,26,44,0,4788.97,,26,42,0,4788.97,,30,44,5,4788.97,,27,42,0,4788.97,
19:40:50 10/09/12,27,29,33,30,,,26,44,11,4788.97,,26,42,1,4788.97,,30,44,4,4788.97,,27,42,1,4788.97,
19:41:00 10/09/12,27,28,31,29,,,26,44,3,4788.97,,26,42,1,4788.97,,30,44,1,4788.97,,27,42,4,4788.97,
19:41:10 10/09/12,30,30,34,32,,,26,44,4,4788.97,,26,42,5,4788.97,,30,44,1,4788.97,,27,42,4,4788.97,
19:41:20 10/09/12,32,32,32,32,,,26,44,2,4788.97,,26,42,1,4788.97,,30,44,1,4788.97,,27,42,1,4788.97,
19:41:30 10/09/12,27,28,32,28,,,26,44,1,4788.97,,26,42,1,4788.97,,30,44,1,4788.97,,27,42,1,4788.97,
19:41:40 10/09/12,33,49,38,33,,,26,44,4,4788.97,,26,49,30,4788.97,,30,50,8,4788.97,,27,49,10,4788.97,
19:41:50 10/09/12,31,33,32,29,,,26,44,1,4788.97,,26,49,1,4788.97,,30,50,0,4788.97,,27,49,2,4788.97,
