CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,01:05:18 - April 02 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
01:05:32 04/02/12,27,28,31,29,,,27,31,0,4789.08,,28,28,0,4789.08,,31,31,0,4789.08,,29,29,1,4789.08,
01:05:40 04/02/12,27,28,31,29,,,27,31,1,4789.08,,27,31,1,4789.08,,30,33,1,4789.08,,28,31,0,4789.08,
01:05:50 04/02/12,28,28,30,29,,,27,38,2,4789.08,,27,38,1,4789.08,,30,39,1,4789.08,,28,40,1,4789.08,
01:06:00 04/02/12,27,27,31,29,,,27,38,2,4789.08,,27,38,2,4789.08,,30,39,2,4789.08,,28,40,2,4789.08,
