CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:07:52 - September 12 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:08:03 09/12/12,34,34,35,34,,,27,34,5,4789.12,,29,36,4,4789.12,,30,38,12,4789.12,,29,41,5,4789.12,
20:08:13 09/12/12,27,30,29,29,,,27,34,0,4789.12,,29,44,1,4789.12,,29,38,1,4789.12,,29,41,0,4789.12,
20:08:23 09/12/12,42,33,32,31,,,27,42,28,4789.12,,29,44,7,4789.12,,29,38,3,4789.12,,29,41,7,4789.12,
20:08:33 09/12/12,28,31,31,30,,,26,43,3,4789.12,,28,44,16,4789.12,,29,38,3,4789.12,,29,41,4,4789.12,
20:08:43 09/12/12,28,30,30,31,,,26,43,3,4789.12,,27,44,1,4789.12,,29,38,1,4789.12,,29,41,9,4789.12,
20:08:53 09/12/12,32,32,32,32,,,26,43,1,4789.12,,27,44,8,4789.12,,29,38,0,4789.12,,29,41,6,4789.12,
20:09:03 09/12/12,28,29,30,29,,,26,43,8,4789.12,,27,44,12,4789.12,,29,38,0,4789.12,,28,41,12,4789.12,
20:09:13 09/12/12,29,28,30,29,,,26,43,1,4789.12,,27,44,6,4789.12,,29,38,1,4789.12,,28,41,2,4789.12,
20:09:23 09/12/12,30,31,31,31,,,26,43,0,4789.12,,27,44,0,4789.12,,29,38,0,4789.12,,28,42,0,4789.12,
20:09:33 09/12/12,32,32,32,31,,,26,43,1,4789.12,,27,44,5,4789.12,,29,38,4,4789.12,,28,42,3,4789.12,
20:09:43 09/12/12,28,29,30,29,,,26,43,7,4789.12,,27,44,3,4789.12,,29,38,1,4789.12,,28,42,3,4789.12,
20:09:53 09/12/12,28,30,30,30,,,26,43,6,4789.12,,27,44,9,4789.12,,29,38,0,4789.12,,28,42,9,4789.12,
20:10:03 09/12/12,28,28,29,28,,,26,43,13,4789.12,,27,44,14,4789.12,,29,38,0,4789.12,,28,42,14,4789.12,
20:10:13 09/12/12,32,32,32,32,,,26,43,1,4789.12,,27,44,2,4789.12,,29,38,0,4789.12,,28,42,1,4789.12,
20:10:23 09/12/12,28,28,30,28,,,26,46,2,4789.12,,27,44,3,4789.12,,29,38,0,4789.12,,28,42,1,4789.12,
20:10:33 09/12/12,29,30,31,31,,,26,46,0,4789.12,,27,44,1,4789.12,,29,38,0,4789.12,,28,42,0,4789.12,
20:10:43 09/12/12,28,29,31,30,,,26,46,7,4789.12,,27,44,0,4789.12,,29,38,0,4789.12,,28,42,7,4789.12,
20:10:53 09/12/12,28,29,30,29,,,26,46,6,4789.12,,27,44,5,4789.12,,29,38,0,4789.12,,28,42,0,4789.12,
20:11:03 09/12/12,31,38,35,31,,,26,46,3,4789.12,,27,45,10,4789.12,,29,47,8,4789.12,,28,44,9,4789.12,
20:11:13 09/12/12,28,29,31,30,,,26,46,1,4789.12,,27,45,3,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:11:23 09/12/12,32,32,32,32,,,26,46,2,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:11:33 09/12/12,32,32,32,32,,,26,46,7,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:11:43 09/12/12,28,29,31,30,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:11:53 09/12/12,28,33,31,30,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,1,4789.12,,28,44,2,4789.12,
20:12:03 09/12/12,28,30,33,29,,,26,46,5,4789.12,,27,45,5,4789.12,,29,47,0,4789.12,,28,44,5,4789.12,
20:12:13 09/12/12,28,30,31,30,,,26,46,3,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,2,4789.12,
20:12:23 09/12/12,33,33,33,33,,,26,46,4,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:12:33 09/12/12,29,29,32,31,,,26,46,4,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:12:43 09/12/12,29,31,32,31,,,26,46,8,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,8,4789.12,
20:12:53 09/12/12,30,31,31,30,,,26,46,0,4789.12,,27,45,1,4789.12,,29,47,1,4789.12,,28,44,0,4789.12,
20:13:03 09/12/12,29,30,31,30,,,26,46,2,4789.12,,27,45,3,4789.12,,29,47,1,4789.12,,28,44,1,4789.12,
20:13:13 09/12/12,32,32,33,33,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,1,4789.12,,28,44,2,4789.12,
20:13:23 09/12/12,30,30,31,30,,,26,46,7,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:13:33 09/12/12,33,33,33,33,,,26,46,1,4789.12,,27,45,4,4789.12,,29,47,1,4789.12,,28,44,4,4789.12,
20:13:43 09/12/12,33,33,33,33,,,26,46,7,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,7,4789.12,
20:13:53 09/12/12,30,30,31,31,,,26,46,2,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,2,4789.12,
20:14:03 09/12/12,33,32,34,32,,,26,46,12,4789.12,,27,45,5,4789.12,,29,47,0,4789.12,,28,44,4,4789.12,
20:14:13 09/12/12,33,33,34,34,,,26,46,4,4789.12,,27,45,11,4789.12,,29,47,0,4789.12,,28,44,4,4789.12,
20:14:23 09/12/12,30,31,32,30,,,26,46,1,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:14:33 09/12/12,33,33,33,33,,,26,46,4,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:14:43 09/12/12,32,32,32,32,,,26,46,1,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,5,4789.12,
20:14:53 09/12/12,33,33,34,33,,,26,46,1,4789.12,,27,45,1,4789.12,,29,47,1,4789.12,,28,44,0,4789.12,
20:15:03 09/12/12,31,31,33,31,,,26,46,1,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:15:13 09/12/12,31,31,33,32,,,26,46,1,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:15:23 09/12/12,31,31,34,33,,,26,46,1,4789.12,,27,45,7,4789.12,,29,47,0,4789.12,,28,44,6,4789.12,
20:15:33 09/12/12,32,34,34,33,,,26,46,1,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:15:43 09/12/12,33,33,33,33,,,26,46,2,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:15:53 09/12/12,31,32,35,32,,,26,46,3,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:16:03 09/12/12,31,32,32,31,,,26,46,2,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,2,4789.12,
20:16:13 09/12/12,30,30,32,30,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,1,4789.12,,28,44,2,4789.12,
20:16:23 09/12/12,33,33,33,33,,,26,46,0,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:16:33 09/12/12,30,31,32,30,,,26,46,1,4789.12,,27,45,5,4789.12,,29,47,1,4789.12,,28,44,5,4789.12,
20:16:43 09/12/12,31,31,34,32,,,26,46,6,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,4,4789.12,
20:16:53 09/12/12,34,34,34,34,,,26,46,0,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,3,4789.12,
20:17:03 09/12/12,31,31,33,32,,,26,46,3,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,2,4789.12,
20:17:13 09/12/12,31,31,34,32,,,26,46,1,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,3,4789.12,
20:17:23 09/12/12,31,31,32,32,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:17:33 09/12/12,34,34,34,33,,,26,46,5,4789.12,,27,45,5,4789.12,,29,47,0,4789.12,,28,44,5,4789.12,
20:17:43 09/12/12,31,33,34,31,,,26,46,0,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:17:53 09/12/12,31,32,34,32,,,26,46,0,4789.12,,27,45,2,4789.12,,29,47,1,4789.12,,28,44,7,4789.12,
20:18:03 09/12/12,32,32,33,31,,,26,46,2,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,2,4789.12,
20:18:13 09/12/12,31,31,33,31,,,26,46,2,4789.12,,27,45,2,4789.12,,29,47,1,4789.12,,28,44,2,4789.12,
20:18:23 09/12/12,33,34,34,33,,,26,46,1,4789.12,,27,45,2,4789.12,,29,47,0,4789.12,,28,44,6,4789.12,
20:18:33 09/12/12,33,34,34,34,,,26,46,4,4789.12,,27,45,7,4789.12,,29,47,0,4789.12,,28,44,7,4789.12,
20:18:43 09/12/12,30,33,34,33,,,26,46,0,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:18:53 09/12/12,31,32,34,33,,,26,46,2,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:19:03 09/12/12,30,31,34,32,,,26,46,1,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,4,4789.12,
20:19:13 09/12/12,30,32,34,32,,,26,46,1,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:19:23 09/12/12,33,33,34,34,,,26,46,0,4789.12,,27,45,0,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
20:19:33 09/12/12,31,34,34,32,,,26,46,1,4789.12,,27,45,4,4789.12,,29,47,0,4789.12,,28,44,1,4789.12,
20:19:43 09/12/12,31,33,34,33,,,26,46,6,4789.12,,27,45,10,4789.12,,29,47,0,4789.12,,28,44,10,4789.12,
20:19:53 09/12/12,30,31,31,31,,,26,46,0,4789.12,,27,45,1,4789.12,,29,47,0,4789.12,,28,44,0,4789.12,
