CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:07:05 - March 13 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:07:15 03/13/12,32,32,33,30,,,32,35,2,4788.80,,32,40,5,4788.80,,33,38,2,4788.80,,30,39,1,4788.80,
21:07:25 03/13/12,31,31,35,31,,,31,36,2,4788.80,,30,49,0,4788.80,,33,43,0,4788.80,,30,39,1,4788.80,
21:07:35 03/13/12,32,31,37,32,,,31,36,4,4788.80,,30,49,4,4788.80,,33,43,5,4788.80,,30,39,5,4788.80,
21:07:45 03/13/12,32,32,35,39,,,31,36,1,4788.80,,30,49,7,4788.80,,33,43,2,4788.80,,30,39,12,4788.80,
21:07:55 03/13/12,31,30,33,31,,,31,37,3,4788.80,,30,49,1,4788.80,,33,43,2,4788.80,,29,44,1,4788.80,
21:08:05 03/13/12,32,44,36,44,,,31,37,5,4788.80,,30,49,2,4788.80,,33,43,0,4788.80,,29,44,14,4788.80,
21:08:15 03/13/12,34,34,34,34,,,31,44,2,4788.80,,30,49,1,4788.80,,32,43,1,4788.80,,29,44,0,4788.80,
21:08:25 03/13/12,34,32,34,30,,,31,44,6,4788.80,,30,49,3,4788.80,,32,43,4,4788.80,,29,44,0,4788.80,
21:08:35 03/13/12,32,31,34,31,,,31,44,2,4788.80,,30,49,4,4788.80,,32,43,2,4788.80,,29,44,2,4788.80,
21:08:45 03/13/12,36,36,36,35,,,31,44,0,4788.80,,30,49,9,4788.80,,32,43,1,4788.80,,29,44,3,4788.80,
21:08:55 03/13/12,33,33,34,32,,,31,44,1,4788.80,,30,49,1,4788.80,,32,43,2,4788.80,,29,44,1,4788.80,
21:09:05 03/13/12,32,34,34,29,,,31,44,0,4788.80,,30,49,0,4788.80,,32,43,0,4788.80,,28,44,0,4788.80,
21:09:15 03/13/12,37,37,38,35,,,31,44,2,4788.80,,30,49,1,4788.80,,32,43,7,4788.80,,28,44,3,4788.80,
