CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:00:58 - March 26 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:01:08 03/26/12,31,31,31,31,,,26,34,5,4789.28,,25,31,2,4789.28,,27,36,0,4789.28,,27,32,1,4789.28,
21:01:18 03/26/12,26,25,27,26,,,26,34,11,4789.28,,24,31,12,4789.28,,26,36,13,4789.28,,25,32,15,4789.28,
21:01:28 03/26/12,26,26,28,26,,,26,34,2,4789.28,,24,31,4,4789.28,,26,36,2,4789.28,,25,32,3,4789.28,
21:01:38 03/26/12,26,26,27,26,,,25,34,3,4789.28,,24,31,2,4789.28,,26,36,1,4789.28,,25,32,2,4789.28,
21:01:48 03/26/12,26,26,27,26,,,25,34,2,4789.28,,24,31,1,4789.28,,26,36,1,4789.28,,25,32,1,4789.28,
21:01:58 03/26/12,26,26,28,27,,,25,34,2,4789.28,,24,31,2,4789.28,,26,36,1,4789.28,,25,32,1,4789.28,
21:02:08 03/26/12,27,27,28,27,,,25,34,1,4789.28,,24,31,0,4789.28,,26,36,0,4789.28,,25,32,0,4789.28,
21:02:18 03/26/12,28,28,28,28,,,25,34,2,4789.28,,24,31,1,4789.28,,26,36,2,4789.28,,25,32,1,4789.28,
21:02:28 03/26/12,30,30,30,30,,,25,34,2,4789.28,,24,31,1,4789.28,,26,36,2,4789.28,,25,32,0,4789.28,
21:02:38 03/26/12,26,27,29,28,,,25,34,0,4789.28,,24,31,3,4789.28,,26,36,3,4789.28,,25,32,4,4789.28,
21:02:48 03/26/12,26,26,27,26,,,25,34,2,4789.28,,24,34,4,4789.28,,26,36,1,4789.28,,25,36,1,4789.28,
21:02:58 03/26/12,26,27,29,28,,,25,42,3,4789.28,,24,37,8,4789.28,,26,38,9,4789.28,,25,36,7,4789.28,
21:03:08 03/26/12,26,27,29,27,,,25,42,10,4789.28,,24,41,7,4789.28,,26,38,8,4789.28,,25,36,11,4789.28,
21:03:18 03/26/12,27,28,29,28,,,25,42,0,4789.28,,24,41,1,4789.28,,26,38,0,4789.28,,25,36,0,4789.28,
21:03:28 03/26/12,31,31,31,30,,,25,42,1,4789.28,,24,41,0,4789.28,,26,38,3,4789.28,,25,36,2,4789.28,
