CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,21:05:01 - December 10 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
21:05:11 12/10/12,33,31,37,31,,,24,33,10,4789.22,,25,31,4,4789.22,,26,42,5,4789.22,,26,33,11,4789.22,
21:05:21 12/10/12,30,30,30,30,,,24,33,3,4789.22,,24,31,5,4789.22,,26,42,2,4789.22,,25,33,4,4789.22,
21:05:31 12/10/12,27,29,42,29,,,24,42,1,4789.22,,24,32,6,4789.22,,26,42,8,4789.22,,24,33,2,4789.22,
21:05:41 12/10/12,25,27,26,27,,,24,42,8,4789.22,,24,35,11,4789.22,,26,44,4,4789.22,,24,33,0,4789.22,
21:05:51 12/10/12,27,27,27,27,,,24,42,4,4789.22,,24,35,5,4789.22,,25,44,14,4789.22,,24,33,0,4789.22,
21:06:01 12/10/12,26,27,37,26,,,24,42,8,4789.22,,24,35,10,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:06:11 12/10/12,25,25,26,25,,,24,42,0,4789.22,,24,35,0,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:06:22 12/10/12,28,28,28,28,,,24,42,0,4789.22,,24,35,0,4789.22,,25,44,20,4789.22,,24,33,0,4789.22,
21:06:32 12/10/12,24,25,26,26,,,24,42,7,4789.22,,24,41,7,4789.22,,25,44,7,4789.22,,24,33,0,4789.22,
21:06:42 12/10/12,25,25,26,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:06:52 12/10/12,28,28,28,28,,,24,42,10,4789.22,,24,41,1,4789.22,,25,44,1,4789.22,,24,33,0,4789.22,
21:07:02 12/10/12,28,28,28,28,,,24,42,4,4789.22,,24,41,1,4789.22,,25,44,6,4789.22,,24,33,0,4789.22,
21:07:12 12/10/12,28,28,28,28,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:07:22 12/10/12,29,29,29,29,,,24,42,1,4789.22,,24,41,1,4789.22,,25,44,1,4789.22,,24,33,0,4789.22,
21:07:32 12/10/12,25,26,27,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:07:42 12/10/12,29,29,29,29,,,24,42,0,4789.22,,24,41,9,4789.22,,25,44,9,4789.22,,24,33,0,4789.22,
21:07:52 12/10/12,25,25,27,25,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,33,0,4789.22,
21:08:02 12/10/12,34,31,34,32,,,24,42,8,4789.22,,24,41,8,4789.22,,25,44,14,4789.22,,24,33,11,4789.22,
21:08:33 12/10/12,30,30,30,30,,,24,42,95,4789.22,,24,41,0,4789.22,,25,44,3,4789.22,,24,35,0,4789.22,
21:08:43 12/10/12,25,26,27,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:08:53 12/10/12,24,25,28,26,,,24,42,1,4789.22,,24,41,11,4789.22,,25,44,15,4789.22,,24,35,0,4789.22,
21:09:03 12/10/12,29,29,29,29,,,24,42,5,4789.22,,24,41,0,4789.22,,25,44,1,4789.22,,24,35,0,4789.22,
21:09:13 12/10/12,25,25,28,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:09:23 12/10/12,30,30,30,30,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:09:33 12/10/12,29,29,29,29,,,24,42,9,4789.22,,24,41,9,4789.22,,25,44,9,4789.22,,24,35,0,4789.22,
21:09:43 12/10/12,25,25,26,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:09:53 12/10/12,25,25,27,26,,,24,42,0,4789.22,,24,41,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:10:03 12/10/12,29,29,29,29,,,24,42,1,4789.22,,24,41,14,4789.22,,25,44,14,4789.22,,24,35,0,4789.22,
21:10:13 12/10/12,29,29,29,29,,,24,42,4,4789.22,,24,41,4,4789.22,,25,44,4,4789.22,,24,35,0,4789.22,
21:10:23 12/10/12,25,27,27,26,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:10:33 12/10/12,30,30,30,30,,,24,43,6,4789.22,,24,43,8,4789.22,,25,44,6,4789.22,,24,35,0,4789.22,
21:10:43 12/10/12,29,29,29,29,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:10:53 12/10/12,29,29,29,29,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:11:03 12/10/12,30,30,30,30,,,24,43,7,4789.22,,24,43,10,4789.22,,25,44,2,4789.22,,24,35,0,4789.22,
21:11:13 12/10/12,29,29,29,29,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:11:23 12/10/12,29,29,29,29,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:11:33 12/10/12,29,29,29,29,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:11:43 12/10/12,25,26,27,26,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:11:53 12/10/12,26,26,28,26,,,24,43,9,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:12:03 12/10/12,29,29,29,29,,,24,43,2,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:12:13 12/10/12,26,27,28,27,,,24,43,9,4789.22,,24,43,9,4789.22,,25,44,9,4789.22,,24,35,0,4789.22,
21:12:24 12/10/12,30,30,30,30,,,24,43,8,4789.22,,24,43,8,4789.22,,25,44,8,4789.22,,24,35,0,4789.22,
21:12:34 12/10/12,25,27,28,27,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:12:44 12/10/12,27,27,28,26,,,24,43,11,4789.22,,24,43,7,4789.22,,25,44,11,4789.22,,24,35,0,4789.22,
21:12:54 12/10/12,30,30,30,30,,,24,43,2,4789.22,,24,43,15,4789.22,,25,44,15,4789.22,,24,35,0,4789.22,
21:13:04 12/10/12,25,27,28,28,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:13:14 12/10/12,27,27,29,27,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
21:13:24 12/10/12,26,27,28,27,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,1,4789.22,
21:13:34 12/10/12,26,28,29,27,,,24,43,0,4789.22,,24,43,0,4789.22,,25,44,0,4789.22,,24,35,0,4789.22,
