CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,23:24:17 - November 16 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
23:24:27 11/16/12,28,30,33,30,,,28,37,6,4789.31,,30,43,4,4789.31,,32,46,4,4789.31,,29,36,0,4789.31,
23:24:37 11/16/12,33,33,33,33,,,27,37,2,4789.31,,30,43,3,4789.31,,32,46,4,4789.31,,29,36,3,4789.31,
