CPUID:,0x206A7
Processor:,Intel Core i7 2600K (Sandy Bridge) 
Platform:,LGA 1155 (Socket H2)
Revision:,D2
Lithography:,32nm

Session start:,20:34:38 - December 03 - 2012

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
20:34:48 12/03/12,26,25,27,26,,,25,37,0,4789.11,,24,32,4,4789.11,,26,32,4,4789.11,,25,31,11,4789.11,
20:34:58 12/03/12,25,25,27,25,,,25,37,0,4789.11,,24,32,1,4789.11,,26,32,0,4789.11,,25,31,8,4789.11,
20:35:08 12/03/12,28,29,42,39,,,25,37,1,4789.11,,24,32,6,4789.11,,26,42,7,4789.11,,25,39,3,4789.11,
20:35:18 12/03/12,25,25,26,27,,,25,37,2,4789.11,,24,32,5,4789.11,,26,43,3,4789.11,,25,41,0,4789.11,
20:35:28 12/03/12,25,24,27,25,,,24,37,0,4789.11,,24,32,0,4789.11,,26,43,11,4789.11,,25,41,3,4789.11,
20:35:38 12/03/12,26,25,27,26,,,24,37,2,4789.11,,24,32,0,4789.11,,26,43,2,4789.11,,25,41,0,4789.11,
20:35:48 12/03/12,28,28,28,28,,,24,37,5,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:35:58 12/03/12,28,28,28,28,,,24,37,4,4789.11,,24,32,0,4789.11,,26,43,4,4789.11,,25,41,4,4789.11,
20:36:08 12/03/12,26,26,27,25,,,24,37,0,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:36:18 12/03/12,28,28,28,28,,,24,37,0,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:36:28 12/03/12,28,28,28,28,,,24,37,6,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,6,4789.11,
20:36:38 12/03/12,35,29,31,30,,,24,37,3,4789.11,,24,32,4,4789.11,,26,43,3,4789.11,,25,41,7,4789.11,
20:36:48 12/03/12,27,27,27,27,,,24,37,0,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:36:58 12/03/12,26,25,28,26,,,24,37,0,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:37:08 12/03/12,29,29,29,29,,,24,37,5,4789.11,,24,32,0,4789.11,,26,43,0,4789.11,,25,41,1,4789.11,
20:37:18 12/03/12,27,25,28,26,,,24,37,4,4789.11,,24,32,4,4789.11,,26,43,4,4789.11,,25,41,4,4789.11,
20:37:28 12/03/12,29,29,29,29,,,24,37,2,4789.11,,24,32,4,4789.11,,26,43,4,4789.11,,25,41,1,4789.11,
20:37:38 12/03/12,28,40,30,28,,,24,37,4,4789.11,,24,40,18,4789.11,,26,43,1,4789.11,,25,41,8,4789.11,
20:37:48 12/03/12,26,26,28,27,,,24,37,1,4789.11,,24,40,1,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:37:58 12/03/12,26,25,28,26,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:38:08 12/03/12,29,29,29,29,,,24,37,6,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:38:18 12/03/12,26,26,27,26,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:38:28 12/03/12,26,26,29,26,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:38:38 12/03/12,30,30,30,30,,,24,37,1,4789.11,,24,40,6,4789.11,,26,43,6,4789.11,,25,41,1,4789.11,
20:38:48 12/03/12,26,26,28,27,,,24,37,4,4789.11,,24,40,4,4789.11,,26,43,4,4789.11,,25,41,0,4789.11,
20:38:58 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:39:08 12/03/12,29,29,29,29,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,2,4789.11,,25,41,0,4789.11,
20:39:18 12/03/12,26,26,29,27,,,24,37,3,4789.11,,24,40,4,4789.11,,26,43,4,4789.11,,25,41,4,4789.11,
20:39:28 12/03/12,26,26,27,27,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:39:38 12/03/12,30,30,30,30,,,24,37,2,4789.11,,24,40,1,4789.11,,26,43,1,4789.11,,25,41,2,4789.11,
20:39:48 12/03/12,29,29,29,29,,,24,37,1,4789.11,,24,40,2,4789.11,,26,43,2,4789.11,,25,41,1,4789.11,
20:39:58 12/03/12,30,30,30,30,,,24,37,11,4789.11,,24,40,11,4789.11,,26,43,11,4789.11,,25,41,11,4789.11,
20:40:08 12/03/12,29,29,29,29,,,24,37,3,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:40:18 12/03/12,28,26,27,27,,,24,37,2,4789.11,,24,40,6,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:40:28 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,1,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:40:38 12/03/12,29,29,29,29,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,5,4789.11,
20:40:48 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:40:58 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:41:08 12/03/12,27,26,28,27,,,24,37,0,4789.11,,24,40,5,4789.11,,26,43,1,4789.11,,25,41,0,4789.11,
20:41:18 12/03/12,29,29,29,29,,,24,37,2,4789.11,,24,40,1,4789.11,,26,43,1,4789.11,,25,41,1,4789.11,
20:41:28 12/03/12,27,27,29,27,,,24,37,6,4789.11,,24,40,4,4789.11,,26,43,4,4789.11,,25,41,6,4789.11,
20:41:38 12/03/12,31,31,31,31,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:41:48 12/03/12,29,29,29,29,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:41:58 12/03/12,27,27,30,28,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:42:08 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,1,4789.11,,25,41,1,4789.11,
20:42:18 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,40,0,4789.11,,26,43,0,4789.11,,25,41,0,4789.11,
20:42:28 12/03/12,30,30,30,30,,,24,37,2,4789.11,,24,40,13,4789.11,,26,43,13,4789.11,,25,41,4,4789.11,
20:42:39 12/03/12,28,27,31,30,,,24,37,3,4789.11,,24,45,2,4789.11,,26,46,2,4789.11,,25,41,0,4789.11,
20:42:49 12/03/12,30,29,29,29,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:42:59 12/03/12,32,31,32,33,,,24,37,2,4789.11,,24,45,0,4789.11,,26,46,9,4789.11,,25,41,0,4789.11,
20:43:09 12/03/12,27,27,29,28,,,24,37,0,4789.11,,24,45,8,4789.11,,26,46,8,4789.11,,25,41,1,4789.11,
20:43:19 12/03/12,30,30,30,30,,,24,37,1,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:43:29 12/03/12,26,28,30,27,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:43:39 12/03/12,27,27,29,26,,,24,37,1,4789.11,,24,45,4,4789.11,,26,46,1,4789.11,,25,41,0,4789.11,
20:43:49 12/03/12,27,27,28,28,,,24,37,1,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:43:59 12/03/12,28,27,29,27,,,24,37,1,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:44:09 12/03/12,29,29,29,29,,,24,37,3,4789.11,,24,45,3,4789.11,,26,46,3,4789.11,,25,41,3,4789.11,
20:44:19 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:44:29 12/03/12,30,30,30,30,,,24,37,7,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:44:39 12/03/12,27,26,28,27,,,24,37,7,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:44:49 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,1,4789.11,,25,41,0,4789.11,
20:44:59 12/03/12,28,27,28,28,,,24,37,4,4789.11,,24,45,4,4789.11,,26,46,1,4789.11,,25,41,4,4789.11,
20:45:09 12/03/12,27,28,29,28,,,24,37,1,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:45:19 12/03/12,28,28,29,28,,,24,37,0,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,0,4789.11,
20:45:29 12/03/12,30,30,30,30,,,24,37,4,4789.11,,24,45,4,4789.11,,26,46,4,4789.11,,25,41,4,4789.11,
20:45:39 12/03/12,28,28,30,27,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:45:49 12/03/12,30,30,30,30,,,24,37,1,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:45:59 12/03/12,30,30,30,30,,,24,37,0,4789.11,,24,45,1,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:46:09 12/03/12,27,28,30,29,,,24,37,5,4789.11,,24,45,5,4789.11,,26,46,5,4789.11,,25,41,5,4789.11,
20:46:19 12/03/12,29,29,30,29,,,24,37,6,4789.11,,24,45,6,4789.11,,26,46,0,4789.11,,25,41,6,4789.11,
20:46:29 12/03/12,30,30,30,30,,,24,37,5,4789.11,,24,45,3,4789.11,,26,46,9,4789.11,,25,41,1,4789.11,
20:46:39 12/03/12,30,29,30,29,,,24,37,3,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:46:49 12/03/12,31,31,31,31,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:46:59 12/03/12,31,31,31,31,,,24,37,1,4789.11,,24,45,2,4789.11,,26,46,1,4789.11,,25,41,6,4789.11,
20:47:09 12/03/12,31,31,31,31,,,24,37,8,4789.11,,24,45,4,4789.11,,26,46,2,4789.11,,25,41,7,4789.11,
20:47:19 12/03/12,30,30,30,30,,,24,37,3,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:47:29 12/03/12,30,30,30,30,,,24,37,1,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,7,4789.11,
20:47:39 12/03/12,31,31,31,31,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,2,4789.11,,25,41,0,4789.11,
20:47:49 12/03/12,30,30,30,30,,,24,37,4,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:47:59 12/03/12,27,28,30,29,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:48:09 12/03/12,30,29,31,31,,,24,37,0,4789.11,,24,45,14,4789.11,,26,46,14,4789.11,,25,41,1,4789.11,
20:48:19 12/03/12,28,27,29,29,,,24,37,8,4789.11,,24,45,9,4789.11,,26,46,7,4789.11,,25,41,8,4789.11,
20:48:29 12/03/12,31,31,31,30,,,24,37,0,1596.37,,24,45,0,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:48:39 12/03/12,29,29,30,29,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:48:49 12/03/12,32,32,32,32,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:48:59 12/03/12,30,29,31,30,,,24,37,2,4789.11,,24,45,1,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:49:09 12/03/12,28,28,30,28,,,24,37,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,41,0,4789.11,
20:49:19 12/03/12,32,32,32,32,,,24,37,1,4789.11,,24,45,0,4789.11,,26,46,1,4789.11,,25,41,1,4789.11,
20:49:29 12/03/12,30,28,31,30,,,24,37,1,4789.11,,24,45,8,4789.11,,26,46,8,4789.11,,25,41,8,4789.11,
20:49:39 12/03/12,30,28,32,30,,,24,38,0,4789.11,,24,45,1,4789.11,,26,46,0,4789.11,,25,44,2,4789.11,
20:49:49 12/03/12,41,32,33,32,,,24,41,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,1,4789.11,
20:49:59 12/03/12,29,28,31,30,,,24,41,5,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,13,4789.11,
20:50:09 12/03/12,29,29,30,29,,,24,41,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,0,4789.11,
20:50:19 12/03/12,29,29,30,29,,,24,41,0,4789.11,,24,45,5,4789.11,,26,46,14,4789.11,,25,44,0,4789.11,
20:50:29 12/03/12,30,29,31,30,,,24,41,2,4789.11,,24,45,14,4789.11,,26,46,14,4789.11,,25,44,0,4789.11,
20:50:39 12/03/12,31,31,31,31,,,24,41,2,4789.11,,24,45,2,4789.11,,26,46,2,4789.11,,25,44,2,4789.11,
20:50:49 12/03/12,31,31,31,31,,,24,41,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,0,4789.11,
20:50:59 12/03/12,30,30,30,30,,,24,41,4,4789.11,,24,45,7,4789.11,,26,46,7,4789.11,,25,44,3,4789.11,
20:51:09 12/03/12,29,28,30,28,,,24,41,0,4789.11,,24,45,0,4789.11,,26,46,11,4789.11,,25,44,0,4789.11,
20:51:19 12/03/12,31,30,31,30,,,24,41,2,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,0,4789.11,
20:51:29 12/03/12,31,31,31,31,,,24,41,0,4789.11,,24,45,5,4789.11,,26,46,5,4789.11,,25,44,0,4789.11,
20:51:39 12/03/12,30,29,31,29,,,24,42,0,4789.11,,24,45,0,4789.11,,26,46,11,4789.11,,25,44,0,4789.11,
20:51:49 12/03/12,28,29,31,29,,,24,42,1,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,0,4789.11,
20:51:59 12/03/12,31,32,32,32,,,24,42,7,4789.11,,24,45,0,4789.11,,26,46,4,4789.11,,25,44,7,4789.11,
20:52:09 12/03/12,29,29,30,28,,,24,42,6,4789.11,,24,45,9,4789.11,,26,46,9,4789.11,,25,44,6,4789.11,
20:52:19 12/03/12,31,31,32,31,,,24,42,8,4789.11,,24,45,3,4789.11,,26,46,3,4789.11,,25,44,9,4789.11,
20:52:29 12/03/12,28,28,30,30,,,24,42,0,4789.11,,24,45,0,4789.11,,26,46,0,4789.11,,25,44,0,4789.11,
